id,latitude,longitude,soortnaam,soortnaamtop,jaarvanaanleg,typeobject,typeeigenaarplus,typebeheerderplus,boomhoogteklasseactueel
920025,4.89192,52.34475,Ulmus minor 'Sarniensis',Iep (Ulmus),1998,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920026,4.85703,52.33264,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920027,4.90237,52.34814,Robinia pseudoacacia 'Bessoniana',Acacia (Robinia),2001,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920028,4.8862,52.32235,Fraxinus excelsior 'Westhof's Glorie',Es (Fraxinus),1948,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920029,4.89058,52.32234,Betula pendula,Berk (Betula),1980,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920030,4.90858,52.34287,Aesculus hippocastanum 'Baumannii',Paardenkastanje (Aesculus),1948,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920032,4.90857,52.34067,Tilia europaea 'Pallida',Linde (Tilia),1970,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920033,4.90879,52.34071,Tilia europaea 'Pallida',Linde (Tilia),1970,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920034,4.90822,52.3407,Tilia europaea 'Pallida',Linde (Tilia),1962,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920035,4.90835,52.34064,Tilia europaea 'Pallida',Linde (Tilia),1962,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920036,4.90857,52.34354,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920037,4.90869,52.34355,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920038,4.90847,52.34413,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920039,4.90851,52.34403,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920040,4.87165,52.33213,Metasequoia glyptostroboides,Watercypres (Metasequoia),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,f. 18 tot 24 m.
920041,4.89661,52.3282,Ulmus hollandica 'Christine Buisman',Iep (Ulmus),1998,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920042,4.86143,52.32364,Acer campestre 'Elsrijk',Esdoorn (Acer),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920043,4.90345,52.34745,Tilia americana,Linde (Tilia),1950,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920044,4.912,52.34387,Tilia tomentosa 'Brabant',Linde (Tilia),2005,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920045,4.90949,52.34424,Tilia tomentosa 'Brabant',Linde (Tilia),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920046,4.86505,52.32612,Carpinus betulus 'Fastigiata',Haagbeuk (Carpinus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920047,4.86421,52.32611,Carpinus betulus 'Fastigiata',Haagbeuk (Carpinus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920048,4.86401,52.32611,Carpinus betulus 'Fastigiata',Haagbeuk (Carpinus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920049,4.8638,52.32611,Carpinus betulus 'Fastigiata',Haagbeuk (Carpinus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920050,4.8701,52.33203,Metasequoia glyptostroboides,Watercypres (Metasequoia),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920051,4.86998,52.33214,Metasequoia glyptostroboides,Watercypres (Metasequoia),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920052,4.87148,52.32559,Sorbus aria 'Magnifica',Sorbus,2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920053,4.87104,52.32558,Sorbus intermedia,Sorbus,1998,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920054,4.87086,52.32558,Sorbus aria 'Magnifica',Sorbus,2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920055,4.87073,52.32507,Tilia europaea 'Pallida',Linde (Tilia),2005,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920056,4.86789,52.32366,Acer campestre 'Elsrijk',Esdoorn (Acer),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920057,4.88662,52.32236,Fraxinus excelsior 'Westhof's Glorie',Es (Fraxinus),1948,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920058,4.87997,52.32719,Alnus cordata,Els (Alnus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920059,4.88013,52.32719,Alnus cordata,Els (Alnus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920060,4.885,52.32227,Fraxinus excelsior 'Westhof's Glorie',Es (Fraxinus),1998,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920061,4.90929,52.34079,Tilia europaea 'Pallida',Linde (Tilia),1970,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920062,4.90898,52.34073,Tilia europaea 'Pallida',Linde (Tilia),1970,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920063,4.90703,52.34294,Quercus coccinea,Eik (Quercus),1966,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920064,4.90224,52.34067,Tilia europaea 'Pallida',Linde (Tilia),1980,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920065,4.90204,52.34068,Tilia europaea 'Zwarte Linde',Linde (Tilia),1960,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920066,4.91277,52.34057,Salix sepulcralis 'Chrysocoma',Wilg (Salix),1974,Gekandelaberde boom,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920067,4.91293,52.34071,Acer pseudoplatanus,Esdoorn (Acer),1983,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920068,4.91223,52.34182,Tilia europaea 'Zwarte Linde',Linde (Tilia),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920069,4.88591,52.32226,Salix alba,Wilg (Salix),1948,Gekandelaberde boom,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920070,4.88331,52.32437,Acer campestre 'Elsrijk',Esdoorn (Acer),2007,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920071,4.89989,52.341,Tilia tomentosa 'Brabant',Linde (Tilia),1992,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920072,4.89894,52.34696,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920073,4.89836,52.34699,Ulmus hollandica 'Pioneer',Iep (Ulmus),2002,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920074,4.85703,52.33254,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920075,4.85435,52.33189,Alnus glutinosa,Els (Alnus),1993,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920076,4.85701,52.33324,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920077,4.85702,52.33316,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920078,4.85702,52.33304,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920079,4.85702,52.33292,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920080,4.89806,52.34701,Ulmus 'Columella',Iep (Ulmus),2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920081,4.85699,52.3341,Platanus hispanica,Plataan (Platanus),2002,Gekandelaberde boom,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920082,4.85699,52.33392,Platanus hispanica,Plataan (Platanus),2002,Gekandelaberde boom,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920083,4.88447,52.34231,Acer saccharinum,Esdoorn (Acer),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920084,4.88449,52.34244,Acer saccharinum,Esdoorn (Acer),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920085,4.86965,52.32207,Fraxinus excelsior 'Westhof's Glorie',Es (Fraxinus),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920086,4.86958,52.32213,Fraxinus excelsior 'Westhof's Glorie',Es (Fraxinus),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920087,4.88931,52.34789,Sorbus aucuparia,Sorbus,1993,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920088,4.88928,52.34765,Sorbus aucuparia edulis,Sorbus,2001,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920089,4.88947,52.34779,Sorbus intermedia,Sorbus,1982,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920090,4.86456,52.32617,Magnolia kobus,Magnolia,2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920091,4.904,52.34539,Tilia europaea 'Pallida',Linde (Tilia),1976,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920092,4.89476,52.34514,Ulmus 'Columella',Iep (Ulmus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920093,4.90245,52.34724,Robinia pseudoacacia 'Bessoniana',Acacia (Robinia),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920094,4.90864,52.34368,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920095,4.90874,52.34344,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920096,4.90878,52.34332,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920097,4.90718,52.34292,Corylus colurna,Corylus,1983,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920098,4.90692,52.34289,Quercus coccinea,Eik (Quercus),1966,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920099,4.89911,52.34539,Sorbus aria 'Majestica',Sorbus,2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920100,4.89905,52.34472,Robinia pseudoacacia,Acacia (Robinia),2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920101,4.86298,52.33212,Ulmus 'New Horizon',Iep (Ulmus),2006,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,q. Niet van toepassing
920102,4.86392,52.33213,Ulmus 'Dodoens',Iep (Ulmus),2000,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,q. Niet van toepassing
920103,4.90594,52.33576,Robinia pseudoacacia,Acacia (Robinia),1993,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920104,4.86899,52.34077,Quercus robur,Eik (Quercus),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920105,4.86908,52.34081,Quercus robur,Eik (Quercus),1974,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920106,4.86913,52.34079,Quercus robur,Eik (Quercus),1974,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920107,4.86932,52.34081,Quercus robur,Eik (Quercus),1974,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920108,4.85136,52.3353,Populus tremula,Populier (Populus),1992,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920109,4.90727,52.33855,Platanus hispanica,Plataan (Platanus),1978,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920110,4.90716,52.33853,Pterocarya fraxinifolia,Vleugelnoot (Pterocarya),1983,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920111,4.88163,52.32439,Quercus robur,Eik (Quercus),2001,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920112,4.87079,52.34085,Quercus robur,Eik (Quercus),1974,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920113,4.9015,52.33918,Tilia americana,Linde (Tilia),1960,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,f. 18 tot 24 m.
920114,4.90145,52.33913,Tilia americana,Linde (Tilia),1960,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,f. 18 tot 24 m.
920115,4.89944,52.33958,Populus 'Oxford',Populier (Populus),1959,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,g. 24 m. en hoger
920116,4.89933,52.33945,Populus 'Oxford',Populier (Populus),1970,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,g. 24 m. en hoger
920117,4.90466,52.33971,Tilia americana,Linde (Tilia),1948,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920118,4.85029,52.33458,Alnus glutinosa 'Laciniata',Els (Alnus),2005,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920119,4.85032,52.33459,Acer campestre,Esdoorn (Acer),2005,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920120,4.85085,52.33462,Acer pseudoplatanus,Esdoorn (Acer),2005,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920121,4.89981,52.34607,Tilia europaea 'Euchlora',Linde (Tilia),1970,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920122,4.89952,52.34599,Robinia pseudoacacia 'Bessoniana',Acacia (Robinia),1953,Stobbe,Gemeente Amsterdam,R&E_VOR_Bomen,q. Niet van toepassing
920123,4.85704,52.332,Ulmus 'Columella',Iep (Ulmus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920124,4.91164,52.34212,Robinia pseudoacacia 'Bessoniana',Acacia (Robinia),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920125,4.90686,52.34861,Aesculus carnea,Paardenkastanje (Aesculus),1948,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920126,4.90213,52.34803,Tilia americana,Linde (Tilia),1950,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920127,4.9032,52.34818,Tilia americana,Linde (Tilia),1950,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920128,4.86076,52.32387,Prunus 'Umineko',Kers (Prunus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920129,4.86076,52.32392,Prunus 'Umineko',Kers (Prunus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920130,4.89816,52.34671,Tilia europaea 'Zwarte Linde',Linde (Tilia),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920131,4.8978,52.34673,Tilia europaea 'Zwarte Linde',Linde (Tilia),1989,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,f. 18 tot 24 m.
920132,4.87561,52.33405,Prunus avium 'Plena',Kers (Prunus),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920133,4.87561,52.33412,Prunus avium 'Plena',Kers (Prunus),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920134,4.87561,52.3342,Prunus avium 'Plena',Kers (Prunus),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920135,4.86836,52.32463,Platanus hispanica,Plataan (Platanus),1982,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920136,4.86833,52.32365,Acer campestre 'Elsrijk',Esdoorn (Acer),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.
920137,4.89683,52.34446,Robinia pseudoacacia,Acacia (Robinia),1985,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920138,4.89672,52.34512,Sorbus aria 'Majestica',Sorbus,2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920139,4.8968,52.34614,Robinia pseudoacacia 'Bessoniana',Acacia (Robinia),1946,Gekandelaberde boom,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920140,4.8515,52.33618,Alnus spaethii 'Spaeth',Els (Alnus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920141,4.89789,52.32953,Ulmus hollandica 'Christine Buisman',Iep (Ulmus),1998,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.
920142,4.8977,52.32933,Ulmus hollandica 'Christine Buisman',Iep (Ulmus),1998,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920143,4.89208,52.32241,Fraxinus excelsior 'Westhof's Glorie',Es (Fraxinus),2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.
920144,4.88962,52.33878,Acer saccharinum 'Pyramidale',Esdoorn (Acer),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,f. 18 tot 24 m.
920145,4.85726,52.33055,Platanus hispanica,Plataan (Platanus),1999,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.
920146,4.89966,52.34101,Tilia tomentosa 'Brabant',Linde (Tilia),1992,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
920147,4.87054,52.33167,Prunus avium 'Plena',Kers (Prunus),2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.
