id,latitude,longitude,soortnaam,soortnaamtop,jaarvanaanleg,typeobject,typeeigenaarplus,typebeheerderplus,boomhoogteklasseactueel,buurt
920028,4.8862,52.32235,Fraxinus excelsior 'Westhof's Glorie',Es (Fraxinus),1948,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.,Buitenveldert-Zuidoost
920029,4.89058,52.32234,Betula pendula,Berk (Betula),1980,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Buitenveldert-Zuidoost
920030,4.90858,52.34287,Aesculus hippocastanum 'Baumannii',Paardenkastanje (Aesculus),1948,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Oost
920032,4.90857,52.34067,Tilia europaea 'Pallida',Linde (Tilia),1970,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Oost
920033,4.90879,52.34071,Tilia europaea 'Pallida',Linde (Tilia),1970,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Oost
920034,4.90822,52.3407,Tilia europaea 'Pallida',Linde (Tilia),1962,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Oost
920035,4.90835,52.34064,Tilia europaea 'Pallida',Linde (Tilia),1962,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Oost
920036,4.90857,52.34354,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Kromme Mijdrechtbuurt
920037,4.90869,52.34355,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Oost
920038,4.90847,52.34413,Gleditsia triacanthos 'Skyline',Valse christusdoorn (Gleditsia triacanthos),2003,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Rijnbuurt-Oost
