id,latitude,longitude,soortnaam,soortnaamtop,jaarvanaanleg,typeobject,typeeigenaarplus,typebeheerderplus,boomhoogteklasseactueel,buurt
920129,4.86076,52.32392,Prunus 'Umineko',Kers (Prunus),2004,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.,Buitenveldert-Zuidwest
920130,4.89816,52.34671,Tilia europaea 'Zwarte Linde',Linde (Tilia),2000,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.,Scheldebuurt-Midden
920131,4.8978,52.34673,Tilia europaea 'Zwarte Linde',Linde (Tilia),1989,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,f. 18 tot 24 m.,Scheldebuurt-Midden
920132,4.87561,52.33405,Prunus avium 'Plena',Kers (Prunus),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Gelderlandpleinbuurt
920133,4.87561,52.33412,Prunus avium 'Plena',Kers (Prunus),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Gelderlandpleinbuurt
920134,4.87561,52.3342,Prunus avium 'Plena',Kers (Prunus),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Gelderlandpleinbuurt
920135,4.86836,52.32463,Platanus hispanica,Plataan (Platanus),1982,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Buitenveldert-Zuidwest
920136,4.86833,52.32365,Acer campestre 'Elsrijk',Esdoorn (Acer),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,a. tot 6 m.,Buitenveldert-Zuidwest
920137,4.89683,52.34446,Robinia pseudoacacia,Acacia (Robinia),1985,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Scheldebuurt-Midden
920138,4.89672,52.34512,Sorbus aria 'Majestica',Sorbus,2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Scheldebuurt-Midden
920139,4.8968,52.34614,Robinia pseudoacacia 'Bessoniana',Acacia (Robinia),1946,Gekandelaberde boom,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Scheldebuurt-Midden
920140,4.8515,52.33618,Alnus spaethii 'Spaeth',Els (Alnus),1997,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Amsterdamse Bos
920141,4.89789,52.32953,Ulmus hollandica 'Christine Buisman',Iep (Ulmus),1998,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,d. 12 tot 15 m.,Amstelpark
920142,4.8977,52.32933,Ulmus hollandica 'Christine Buisman',Iep (Ulmus),1998,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.,Amstelpark
920143,4.89208,52.32241,Fraxinus excelsior 'Westhof's Glorie',Es (Fraxinus),2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,c. 9 tot 12 m.,Buitenveldert-Zuidoost
920144,4.88962,52.33878,Acer saccharinum 'Pyramidale',Esdoorn (Acer),1990,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,f. 18 tot 24 m.,RAI
920145,4.85726,52.33055,Platanus hispanica,Plataan (Platanus),1999,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,e. 15 tot 18 m.,Buitenveldert-West-Midden
920146,4.89966,52.34101,Tilia tomentosa 'Brabant',Linde (Tilia),1992,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Rijnbuurt-West
920147,4.87054,52.33167,Prunus avium 'Plena',Kers (Prunus),2006,Boom niet vrij uitgroeiend,Gemeente Amsterdam,R&E_VOR_Bomen,b. 6 tot 9 m.,Gelderlandpleinbuurt
